Sl. No.,State/UT,Numbers of Monuments
1,Andhra Pradesh,135
2,Arunachal Pradesh,3
3,Assam,55
4,Bihar,70
5,Chhattisgarh,46
7,Goa,21
8,Gujarat,205
9,Haryana,91
10,Himachal Pradesh,40
12,Jharkhand,13
13,Karnataka ,506
14,Kerala,29
16,Madhya Pradesh,291
17,Maharashtra,286
18,Manipur,1
19,Meghalaya,8
20,Mizoram,1
21,Nagaland,4
23,Odisha,80
25,Punjab,33
26,Rajasthan,163
27,Sikkim,3
28,Telangana,8
29,Tamil Nadu,412
30,Tripura,8
31,Uttar Pradesh,743
32,Uttarakhand,44
33,West Bengal,135
