state,hot_spot_score,poverty_score,avg_student_enrollment,education_score,avg_unemp,unemp_score,average_cpi_2011_2020,cpi_score,avg_cases_total,crime_score
Andhra Pradesh   ,2,2,74.75,1,3.5,17,133.17,6,61.75,5
Arunachal Pradesh,15,21,84.63,13,6,5,124.8,26,2.5625,21
Assam            ,10,13,101.13,23,4.9,10,131.85,12,75.5,4
Bihar            ,1,1,77.88,4,5.8,6,132.56,11,105.125,3
Chhattisgarh     ,14,19,82.75,10,2,22,132.66,10,8.75,18
Goa              ,12,16,102.63,24,9.5,2,132.87,9,2.1875,22
Gujarat          ,13,17,88.25,16,2.1,21,131.51,14,42.8125,8
Haryana          ,11,14,83.75,12,5.3,8,129.08,20,25.6875,13
Himachal Pradesh ,18,25,96.25,20,4.3,13,129.81,18,4.9375,20
Jharkhand        ,4,5,78.5,6,4,16,133.3,5,26.25,12
Karnataka        ,3,3,78.75,7,2.5,19,135.97,1,26.375,11
Kerala           ,9,12,108.25,27,9.5,2,134.91,2,13.9375,16
Madhya Pradesh   ,10,14,80.25,8,2.5,19,131.62,13,35.3125,9
Maharashtra      ,14,20,93.5,19,3.1,18,130.68,16,44.6875,7
Manipur          ,8,10,77.25,3,5.6,7,131.43,15,7.25,19
Meghalaya        ,16,22,97.5,21,2.4,20,134.41,4,1.875,23
Mizoram          ,19,26,104.88,26,4.2,14,130.58,17,0.4375,26
Nagaland         ,13,18,80.63,9,13.5,1,125.2,25,1.3125,24
Odisha           ,6,7,83.5,11,5,9,133.04,8,25.25,14
Punjab           ,11,15,89.5,17,5.6,7,129.6,19,28.875,10
Rajasthan        ,8,11,75.88,2,3.5,17,127.1,23,154,2
Sikkim           ,17,24,87.62,15,5.3,8,127.6,22,0.8125,25
Tamil Nadu       ,5,6,93.25,18,4.6,11,134.46,3,42.8125,8
Tripura          ,7,9,98.63,22,8.2,3,135.97,1,9.9375,17
Uttar Pradesh    ,3,4,78,5,4.6,11,128.4,21,197.875,1
Uttarakhand      ,16,23,104.38,25,6.1,4,125.5,24,19.3125,15
West Bengal      ,6,8,84.88,14,4.1,15,133.14,7,59.5625,6
